County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Queens,Plant,Flowering Plants,Other Flowering Plants,Endodeca serpentaria,Virginia Snakeroot,1871,Threatened,not listed,S2,G4,Extirpated
Queens,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Eupatorium subvenosum,Trinerved White Boneset,not available,Threatened,not listed,S2S3,G5T4,Possible but not Confirmed
Queens,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Eupatorium torreyanum,Fringed Boneset,1995,Threatened,not listed,S2,G5T4T5,Recently Confirmed
Queens,Plant,Flowering Plants,Sedges,Fimbristylis castanea,Marsh Fimbry,not available,Threatened,not listed,S2,G5,Historically Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Geum virginianum,Rough Avens,not available,Threatened,not listed,S2,G5,Historically Confirmed
Queens,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Helianthus angustifolius,Swamp Sunflower,1906,Threatened,not listed,S2,G5,Extirpated
Queens,Plant,Flowering Plants,Other Flowering Plants,Hottonia inflata,Featherfoil,1861,Threatened,not listed,S2,G4,Extirpated
Queens,Plant,Flowering Plants,Other Flowering Plants,Iris prismatica,Slender Blue Flag,not available,Threatened,not listed,S2,G4G5,Extirpated
Queens,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Liatris scariosa var. novae-angliae,Northern Blazing Star,not available,Threatened,not listed,S2,G5?T3,Historically Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Linum medium var. texanum,Southern Yellow Flax,1916,Threatened,not listed,S2,G5T5,Extirpated
Queens,Plant,Flowering Plants,Other Flowering Plants,Ludwigia sphaerocarpa,Globe-fruited Ludwigia,not available,Threatened,not listed,S2,G5,Historically Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Myriophyllum alterniflorum,Alternate-flowered Water Milfoil,not available,Threatened,not listed,S2,G5,Possible but not Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Oenothera oakesiana,Oakes' Evening Primrose,1992,Threatened,not listed,S2,G4G5Q,Recently Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Orontium aquaticum,Golden Club,not available,Threatened,not listed,S2,G5,Historically Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Oxalis violacea,Violet Wood Sorrel,not available,Threatened,not listed,S2S3,G5,Historically Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Pedicularis lanceolata,Swamp Lousewort,1929,Threatened,not listed,S2S3,G5,Possible but not Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Plantago maritima var. juncoides,Seaside Plantain,not available,Threatened,not listed,S2S3,G5T5,Recently Confirmed
Queens,Plant,Flowering Plants,Other Flowering Plants,Potamogeton pulcher,Spotted Pondweed,not available,Threatened,not listed,S2,G5,Historically Confirmed
