Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference
3161602,MONROE,DB,202,849409,FISHBOWL SPIRITS LLC,,1050 LEE RD,,ROCHESTER,NY,14606,11/30/2018,10/31/2021,CLASS B DISTILLER,Alternating Proprietorship,,POINT (-77.680415 43.187722)
3161893,NIAGARA,MI,101,936073,PROSPER BREWING LLC,PROSPER BREWING,72 WEBSTER ST,,NORTH TONAWANDA,NY,14120,1/19/2021,1/31/2022,MICRO BREWER,,,POINT (-78.877391 43.023741)
3150600,MONROE,D,101,935569,MARK ANTHONY BREWING INC,MIKES HARD LEMONADE CO,445 ST PAUL ST,,ROCHESTER,NY,14605,12/14/2020,12/31/2021,BREWER,,Alternating Proprietorship,POINT (-77.614501 43.16514)
1045822,SUFFOLK,FW,302,911199,DUCK WALK VINEYARDS INC,,231 MONTAUK HGWY,PO BOX 962,WATER MILL,NY,11976,12/6/2018,1/31/2022,FARM WINERY,,,POINT (-72.365835 40.90257)
3156921,ERIE,MI,101,937496,BUFFALO BREWING COMPANY LLC,,314 MYRTLE AVE,F05-ROW STORAGE BUILDING,BUFFALO,NY,14204,3/19/2021,3/31/2022,MICRO BREWER,,,POINT (-78.858175 42.87815)
2213207,ORANGE,MI,101,937771,EQUILIBRIUM BREWERY LLC,,2 8 SOUTH ST,,MIDDLETOWN,NY,10940,10/28/2020,11/30/2021,MICRO BREWER,,Licensed Beer Garden,POINT (-74.420166 41.444783)
2212635,OSWEGO,FW,302,908414,GRACE TYLER ESTATE WINERY LLC,,1180 STATE RTE 49,BLDG 1,CONSTANTIA,NY,13044,10/19/2018,9/30/2021,FARM WINERY,,Licensed Porch,POINT (-75.979123 43.246363)
3161465,ONTARIO,FD,106,999999,OTHER HALF BREWING COMPANY INC,,6621 STATE RTE 5 & 20,,EAST BLOOMFIELD,NY,14469,11/19/2018,10/31/2021,FARM BREWERY,,,
3149577,NIAGARA,DW,301,911497,BLACK WILLOW WINERY LLC,,5565 W LAKE RD,,BURT,NY,14028,12/14/2018,1/31/2022,WINERY,,,POINT (-78.734268 43.331838)
2221923,SCHENECTADY,FD,106,999999,WOLF HOLLOW BREWING COMPANY LLC,,6882 AMSTERDAM RD,,WEST GLENVILLE,NY,12302,9/25/2020,8/31/2021,FARM BREWER,,Licensed Outdoor Patio,POINT (-74.066781 42.892179)
2216413,ALBANY,MI,101,926701,FIDENS BREWING COMPANY LLC,,10 WALKER WAY,STE 7,ALBANY,NY,12205,5/20/2020,7/31/2021,MICRO BREWER,,,POINT (-73.837804 42.717441)
1255082,SUFFOLK,FW,302,910137,REILLY CELLARS LLC,,37025 MAIN RD,,CUTCHOGUE,NY,11935,11/15/2018,12/31/2021,FARM WINERY,M-F 8AM-5PM,,POINT (-72.467367 41.029294)
1319368,SUFFOLK,FD,106,935626,GHOST BREWING COMPANY LLC,,25 DREXEL DR,,BAY SHORE,NY,11706,12/21/2020,12/31/2021,FARM BREWER,,,POINT (-73.263466 40.760544)
2208769,CAYUGA,FD,106,936113,"SHEPHERDS BREWING COMPANY LLC, THE",THE GOOD SHEPHERDS BREWING COMPANY,132 GENESEE ST,,AUBURN,NY,13021,1/21/2021,1/31/2022,FARM BREWER,,,POINT (-76.568288 42.930708)
2209819,SARATOGA,FD,106,933907,OLIVA VINEYARDS LLC,RACING CITY BREWING COMPANY,250 EXCELSIOR AVE,,SARATOGA SPRINGS,NY,12866,8/20/2020,8/31/2021,FARM BREWER,,,POINT (-73.758224 43.093826)
3161872,YATES,DD,207,915508,ANTLER RUN DISTILLING LLC,,3133 ANTLER RUN RD,,KEUKA PARK,NY,14478,3/8/2019,2/28/2022,FARM DISTILLER D,,,
3162008,ONTARIO,DD,207,849500,SOB DISTILLERS LLC,TUITION DISTILLING COMPANY,5310 NORTH ST,BLDG 1,CANANDAIGUA,NY,14424,3/6/2019,2/28/2022,FARM DISTILLER,Class D,,POINT (-77.304923 42.900409)
