Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference
2195437,DUTCHESS,FD,106,846193,FROM THE GROUND BREWERY LLC,,245 GUSKI RD,,RED HOOK,NY,12571,6/15/2021,7/31/2022,FARM BREWER,,,POINT (-73.88001 42.047136)
2200245,DUTCHESS,MR,210,907987,"CULINARY INSTITUTE OF AMERICA, THE",THE BREWERY AT THE CIA,1995 CAMPUS DR,,HYDE PARK,NY,12538,9/7/2018,9/30/2021,"RESTAURANT BREWER SERVING BEER, WINE, CIDER, & LIQUOR",,,POINT (-73.932113 41.746504)
2224026,ALBANY,MI,106,938615,MIXED BREED BREWERY LLC,MIXED BREED BREWING,457 NY 146,STE #6,GUILDERLAND CENTER,NY,12085,3/11/2021,2/28/2022,MICRO-BREWER,,,POINT (-73.759173 42.863588)
1273846,SUFFOLK,FD,106,999999,GREAT SOUTH BAY BREWERY CORP,GREAT SOUTH BAY BREWERY,25 DREXEL DR,,BAY SHORE,NY,11706,4/7/2017,12/31/2021,FARM BREWER MANUFACTURING NY STATE LABELED BEER/CIDER,,,POINT (-73.263466 40.760544)
3159947,ERIE,MI,101,934085,LABATT USA OPERATING CO LLC,LABATT USA BREWING COMPANY,79 PERRY ST,,BUFFALO,NY,14203,8/31/2020,8/31/2021,MICRO BREWER,,,POINT (-78.874383 42.875582)
2207207,WARREN,MI,101,934015,BOLTON LANDING BREWING COMPANY LLC,BOLTON LANDING BREWING COMPANY,4933 LAKE SHORE DR,,BOLTON LANDING,NY,12814,8/27/2020,8/31/2021,MICRO-BREWERY,,Licensed Patio & Yard,POINT (-73.655533 43.555671)
1308995,SUFFOLK,MI,101,999999,MOUSTACHE BREWING CO LLC,,400 HALLET AVE,,RIVERHEAD,NY,11901,3/26/2018,12/31/2021,MICRO-BREWER,,,POINT (-72.667774 40.919963)
2207353,DELAWARE,MI,101,934211,WEAVER HOLLOW FARMHOUSE ALES LLC,WEAVER HOLLOW BREWERY,294 DEPOT ST,,ANDES,NY,13731,9/2/2020,10/31/2021,MICRO BREWER,,,POINT (-74.78992 42.186629)
3160390,CHAUTAUQUA,FD,106,932697,BIG INLET BREWING INC,BIG INLET BREWING,6169 ELM FLATS RD,,MAYVILLE,NY,14757,7/21/2020,7/31/2021,FARM BREWER,,,POINT (-79.471977 42.270713)
1319453,SUFFOLK,FD,106,938179,UBERGEEK BREWING COMPANY LLC,,24 E SECOND ST,SUITE A,RIVERHEAD,NY,11901,11/19/2020,12/31/2021,TENANT FARM BREWER,,,POINT (-72.662052 40.91894)
2212955,ORANGE,DA,206,883295,BLACK DIRT DISTILLING LLC,BLACK DIRT DISTILLING CO,385 GLENWOOD RD,,PINE ISLAND,NY,10969,9/6/2018,8/31/2021,DISTILLER CLASS A-1,,,POINT (-74.476999 41.279461)
1317919,WESTCHESTER,MI,101,934566,FIRST BORO BREWING LLC,,2 CORTLANDT ST,STE 1C,MOUNT VERNON,NY,10550,9/23/2020,9/30/2021,MICROBREWERY,Alternating Proprietorship,,POINT (-73.847987 40.907868)
2014052,WARREN,MI,101,937973,COOPERS CAVE ALE COMPANY LTD,,2 SAGAMORE ST,,GLENS FALLS,NY,12801,11/5/2020,11/30/2021,MICROBREWERY,,,POINT (-73.639736 43.317673)
1285158,KINGS,DA,206,911319,BEN FRANKLIN DISTILLERY LLC,,5304 NEW UTRECHT AVE,UNIT 317-320,BROOKLYN,NY,11219,12/11/2018,11/30/2021,DISTILLER CLASS A-1,,,POINT (-73.995192 40.633144)
2205541,ONONDAGA,FD,106,937595,FULL BOAR CRAFT BREWERY LLC,,628 S MAIN ST UNIT 10,,NORTH SYRACUSE,NY,13212,10/20/2020,10/31/2021,FARM WINERY,,,POINT (-76.141055 43.123834)
3156426,ERIE,MI,101,934615,42 NORTH BREWING COMPANY LLC,,25 PINE ST,,EAST AURORA,NY,14052,9/28/2020,10/31/2021,MICROBREWERY,,,POINT (-78.607899 42.768522)
3159060,LIVINGSTON,FD,106,999999,BATTLE STREET BREWERY LLC,,4 BATTLE ST,,DANSVILLE,NY,14437,12/8/2020,12/31/2021,FARM BREWERY,,Licensed Outdoor Area,POINT (-77.699424 42.561218)
3161467,ERIE,DW,301,849387,QUEEN CITY MEADERY LLC,,290 CENTER RD,UNIT 105,W SENECA,NY,14224,11/15/2018,10/31/2021,WINERY,,,POINT (-78.771461 42.839672)
2162817,CLINTON,FW,302,913040,CHARLES RICHARD LAMOY,HID-IN-PINES VINEYARD,456 SOPER STREET,FLAT ROCK RD & STALEY RD,MORRISONVILLE,NY,12962,1/31/2019,1/31/2022,FARM WINERY MANUFACTURING WINE,,,POINT (-73.588504 44.673128)
3155715,WYOMING,FD,106,939121,AMBER LANTERN LLC,AMBER LANTERN BREWING COMPANY,44 N MAIN ST,,WARSAW,NY,14569,3/25/2021,3/31/2022,FARM BREWER,,,POINT (-78.132579 42.740863)
2222000,DELAWARE,FD,106,933264,BOVINA FARM AND FERMENTORY LLC,,2951 COUNTY HWY 5,,BOVINA,NY,13740,9/8/2020,8/31/2021,FARM BREWER,,,POINT (-74.767003 42.300092)
3162964,SENECA,FD,106,935806,FINGER LAKES KOMBUCHA COMPANY LLC,FALL STREET BREWING COMPANY,106 FALL ST,,SENECA FALLS,NY,13148,1/5/2021,12/31/2021,FARM BREWER,,,POINT (-76.798745 42.910505)
2217147,SCHENECTADY,FD,106,934340,FAITH AMERICAN BREWING COMPANY LLC,,108 STATE ST,,SCHENECTADY,NY,12305,9/11/2020,9/30/2021,TENANT FARM BREWER,,,POINT (-73.947487 42.815196)
3152602,NIAGARA,MI,101,934892,WOODCOCK BROTHERS BREWING COMPANY INC,,638 LAKE ST,,WILSON,NY,14172,10/13/2020,10/31/2021,MICROBREWERY,,,POINT (-78.826005 43.29841400000001)
2118740,ORANGE,DC,204,901000,DEMAREST HILL WINERY INC,,81 PINE ISLAND TPKE,MELODY LN & FOLEY RD,WARWICK,NY,10990,5/31/2018,7/31/2021,DISTILLER,,,POINT (-74.371136 41.266521)
2201173,ORANGE,MI,101,927148,EQUILIBRIUM BREWERY LLC,,22 HENRY ST,,MIDDLETOWN,NY,10940,6/12/2020,7/31/2021,MICRO-BREWERY,,Licensed Patio,POINT (-74.422062 41.446158)
3156644,SENECA,MI,101,936427,THREE BROTHERS WINERIES & ESTATES LLC,WAR HORSE BREWING COMPANY,623 LERCH RD,,GENEVA,NY,14456,2/4/2021,3/31/2022,MICROBREWERY,,,POINT (-76.923513 42.820391)
1307936,NASSAU,FD,106,935700,LONG BEACH BREWING COMPANY INC,,3350A LAWSON BLVD,,OCEANSIDE,NY,11572,12/24/2020,12/31/2021,FARM BREWER,,,POINT (-73.652414 40.628949)
1309831,SUFFOLK,DD,207,903901,POUR DECISIONS LLC,SHINN ESTATE VIINEYARDS,2000 OREGON RD,,MATTITUCK,NY,11952,2/26/2019,1/31/2022,FARM DISTILLER,,,POINT (-72.532901 41.014827)
3012700,SENECA,FW,302,914256,SILVER THREAD VINEYARD LLC,SILVER THREAD VINEYARD,1401 CAYWOOD ROAD,,LODI,NY,14860,3/22/2019,3/31/2022,FARM WINERY,,,POINT (-76.878385 42.56167)
1314052,KINGS,FD,106,937149,DALEVIEW LLC,DALEVIEW BREWERY,1170 NOSTRAND AVE,CELLAR,BROOKLYN,NY,11225,3/4/2021,2/28/2022,FARM BREWER,,,POINT (-73.950461 40.658955)
3161447,MONROE,MI,101,934582,STONEYARD BREWERY LLC,,85 CLINTON ST,,BROCKPORT,NY,14420,9/24/2020,9/30/2021,MICRO BREWER,,,POINT (-77.942626 43.216031)
1312063,WESTCHESTER,MI,101,934886,DECADENT ALES LLC,,139 HOYT AVE,STE A,MAMARONECK,NY,10543,10/13/2020,11/30/2021,MICRO BREWERY,,,POINT (-73.738751 40.952041)
3157851,ERIE,FD,106,933528,EAST AURORA DISTILLERY AND WINERY LLC,EAST AURORA BREWERY,667 OAKWOOD AVE,REAR BLDG,EAST AURORA,NY,14052,8/5/2020,8/31/2021,FARM BREWER,,,POINT (-78.609961 42.76556800000001)
2215707,SARATOGA,MI,101,938063,WHITMAN BREWING COMPANY LLC,WALT & WHITMAN BREWING COMPANY,20 LAKE AVE,,SARATOGA SPRINGS,NY,12866,11/13/2020,11/30/2021,MICROBREWER,,Licensed Patio & Beer Garden,POINT (-73.783675 43.083015)
3131398,SENECA,FW,302,913845,BELHURST ESTATE WINERY INC,,5525 E LAKE ROAD,,ROMULUS,NY,14541,3/7/2019,3/31/2022,FARM WINERY,,,POINT (-76.921171 42.756978)
2209118,ONONDAGA,FD,106,937756,ANYTHING BUT BEER LLC,,1153 W FAYETTE ST,STE 103,SYRACUSE,NY,13204,10/28/2020,10/31/2021,FARM BREWERY,,,POINT (-76.172856 43.046253)
1329725,SUFFOLK,MI,101,787554,PECONIC COUNTY BREWING LLC,,221 E MAIN ST,,RIVERHEAD,NY,11901,2/5/2021,1/31/2022,MICRO BREWER,,,POINT (-72.65882000000002 40.917863)
2221791,ALBANY,MI,101,935457,INDIAN LADDER FARMS CIDERY & BREWERY LLC,INDIAN LADDER FARMS CIDERY & BREWERY,342 ALTAMONT RD,,ALTAMOUNT,NY,12009,1/27/2021,12/31/2021,MICRO BREWER,,Licensed Outdoor Beer Garden,POINT (-73.977061 42.656394000000006)
2222458,JEFFERSON,FD,106,999999,RIVER HENS LLC,GARLAND CITY BEER WORKS,321 HOWK ST,,WATERTOWN,NY,13601,,7/31/2021,FARM BREWER,,,POINT (-75.9182 43.980864)
1275403,QUEENS,MI,101,939225,LIC BREWERY LLC,LIC BEER PROJECT,39-28 23RD ST,,LONG ISLAND CITY,NY,11101,3/30/2021,3/31/2022,MICROBREWERY,,"Production of less than 75,000 barrels annually",POINT (-73.938631 40.755202)
2221422,FRANKLIN,MI,101,933406,PROP & RUDDER LLC,BITTERS & BONES,65 BROADWAY,,SARANAC LAKE,NY,12983,9/24/2020,8/31/2021,MICRO BREWER,,,POINT (-74.132781 44.32887)
3162138,MONROE,MI,101,999999,CTB GROUP INC,WOOD KETTLE BREWING,1192 MANITOU RD,STE 13,HILTON,NY,14468,3/28/2019,2/28/2022,MICRO BREWERY,,,POINT (-77.751029 43.25452500000001)
3133342,STEUBEN,FW,302,914334,KEUKA LAKE VINEYARDS LTD,,8872 8882 COUNTY ROUTE 76,,HAMMONDSPORT,NY,14840,3/28/2019,3/31/2022,FARM WINERY,,,POINT (-77.201818 42.430479)
2008122,ORANGE,DW,301,913646,DEMAREST HILL WINERY INC,,81 PINE ISLAND TPKE,,WARWICK,NY,10990,3/1/2019,3/31/2022,WINERY,,,POINT (-74.371136 41.266521)
3149141,SCHUYLER,FW,302,912573,RYAN WILLIAM VINEYARD AND WINERY LLC,RYAN WILLIAM VINEYARD,5247 STATE ROUTE 414,,HECTOR,NY,14841,1/10/2019,1/31/2022,FARM WINERY,,,
1316912,SUFFOLK,CD,304,932707,PO'BOY BREWERY LTD,,200 WILSON ST,"BUILDING E, UNIT 3",PORT JEFFERSON STATIO,NY,11776,7/22/2020,7/31/2021,CIDER PRODUCER,,,POINT (-73.056239 40.933336)
2211196,GREENE,FW,302,923055,WIN VIN LLC,THE VINEYARD AT WINDHAM,11 MOUNT VIEW ESTATES RD,,ASHLAND,NY,12496,12/13/2019,8/31/2021,FARM WINERY,,,POINT (-74.305816 42.335609)
3160492,LIVINGSTON,MI,101,932612,MORTALIS BREWING COMPANY LLC,MORTALIS BREWING COMPANY,5660 TEC DR,,AVON,NY,14414,7/15/2020,7/31/2021,MICRO BREWER,,LICENSED PATIO,POINT (-77.703943 42.912737)
2213852,ONONDAGA,FW,302,910701,COX FAMILY LLC,THE GARDEN CAFE AT CRAZY DAISIES,4693 KASSON RD,,SYRACUSE,NY,13215,1/18/2019,12/31/2021,FARM WINERY,,Outdoor Deck,POINT (-76.263166 42.994266)
2138293,COLUMBIA,DD,207,570826,HARVEST SPIRITS LLC,,3074 US ROUTE 9,,VALATIE,NY,12184,3/5/2020,1/31/2023,DISTILLER,,,POINT (-73.686907 42.436733)
2167419,SCHENECTADY,MI,101,936432,VAN DYCK LLC,MAD JACK BREWING COMPANY,235 237 UNION ST,,SCHENECTADY,NY,12305,2/5/2021,1/31/2022,MICROBREWERY,,,POINT (-73.943074 42.816329)
1275908,WESTCHESTER,MI,101,999999,DUNCAN'S ABBY INC,DUNCAN'S ABBEY,27 STORM ST,,TARRYTOWN,NY,10591,9/4/2020,10/31/2021,MICRO BREWER,,,POINT (-73.860653 41.078338)
2117372,ULSTER,FW,302,912691,STOUTRIDGE VINEYARD LLC,,10 ANN KALEY LANE,RIDGE RD & ANN KALEY LN,MARLBORO,NY,12542,1/17/2019,3/31/2022,FARM WINERY,,,POINT (-73.982216 41.614132)
1296449,NASSAU,FD,106,936322,BARNSHED BREWING LLC,,100E LAUMAN LN,,HICKSVILLE,NY,11801,2/1/2021,2/28/2022,FARM BREWER,,,POINT (-73.498765 40.743737)
1280569,SUFFOLK,MI,101,934814,SAINT JAMES BREWERY LLC,,929 LINCOLN AVE UNIT 11,,HOLBROOK,NY,11741,10/7/2020,9/30/2021,MICRO BREWER,,,POINT (-73.083439 40.773739000000006)
1315139,KINGS,FD,106,935582,WILD EAST BREWING CO LLC,,623 SACKETT ST,,BROOKLYN,NY,11217,12/14/2020,11/30/2021,FARM BREWER,,,POINT (-73.983526 40.678404)
3000852,CHAUTAUQUA,DW,301,913237,"WINE GROUP LLC, THE",,85 BOURNE ST,,WESTFIELD,NY,14787,2/12/2019,2/28/2022,WINERY,,,POINT (-79.58003 42.331716)
3155395,ERIE,DA,206,912446,MAINSPRING LLC,LAKEWARD SPIRITS,65 VANDALIA ST,SUITE 1,BUFFALO,NY,14204,1/8/2019,12/31/2021,DISTILLER A-1,,,POINT (-78.861162 42.866419)
2214470,ULSTER,CF,309,910837,RMV CELLARS LLC,RED MAPLE VINEYARD,25 BURROUGHS DR,,WEST PARK,NY,12493,3/15/2019,2/28/2022,FARM CIDERY,,,
3154447,CATTARAUGUS,MI,101,937076,S & W COMPANY LLC,ELLICOTTVILLE BREWING CO,28A MONROE ST,,ELLICOTTVILLE,NY,14731,3/1/2021,3/31/2022,MICROBREWER,,,POINT (-78.670667 42.27495)
2188448,BROOME,MI,101,935688,NORTH BREWERY LLC THE,THE NORTH BREWERY,110 WASHINGTON AVE,,ENDICOTT,NY,13760,12/23/2020,12/31/2021,MICRO BREWER,,"Manufacturing Under 60,000 Barrels of Beer Per Year",POINT (-76.048163 42.102055)
2192192,ULSTER,FD,106,934806,RB BREW LLC,,317 SPRINGTOWN RD,,NEW PALTZ,NY,12561,10/7/2020,11/30/2021,FARM BREWER,,,POINT (-74.087337 41.791716)
3014280,YATES,FW,302,914095,SENECA SHORE WINERY INC,SENECA SHORE WINE CELLARS,929 DAVY RD,,PENN YAN,NY,14527,3/14/2019,3/31/2022,FARM WINERY,,,POINT (-76.970567 42.715715)
3133853,MONROE,MI,101,938145,RAILROAD STREET BREWING COMPANY INC,ROHRBACH BREWING COMPANY,97 RAILROAD ST,,ROCHESTER,NY,14609,11/17/2020,12/31/2021,MICROBREWERY,,,POINT (-77.586789 43.163423)
3155254,ERIE,MI,101,939887,FLYING BISON BREWING COMPANY LLC,,840 SENECA ST,,BUFFALO,NY,14210,4/20/2021,5/31/2022,MICROBREWERY,,,POINT (-78.846096 42.875073)
1309367,WESTCHESTER,FD,106,935859,WOLF & WARRIOR BREWING COMPANY LLC,,195A E POST RD,,WHITE PLAINS,NY,10601,1/7/2021,12/31/2021,FARM BREWER,,Patio Will Not Be Used In The Cold Season,POINT (-73.76383 41.029918)
1312137,SUFFOLK,FW,302,849347,PALMER WINERY LTD,PALMER VINEYARDS,5120 SOUND AVE,,AQUEBOGUE,NY,11931,10/17/2018,9/30/2021,FARM WINERY,,,POINT (-72.625168 40.968312)
3012706,SENECA,FW,302,920157,POPLAR RIDGE VINEYARDS INC,,9782 ROUTE 414,,VALOIS,NY,14841,7/29/2019,9/30/2022,FARM WINERY,,,POINT (-76.86978 42.549504)
3158869,STEUBEN,FD,106,934225,TRIPEND BREWING LLC,,3072 PRUTSMAN RD,,TROUPSBURG,NY,14885,9/3/2020,8/31/2021,FARM BREWERY,,,POINT (-77.548796 42.091562)
2188446,SULLIVAN,DA,206,913787,PROHIBITION DISTILLERY LLC,PROHIBITION DISTILLERY LLC,10 UNION ST,,ROSCOE,NY,12776,3/6/2019,2/28/2022,CLASS A-1 DISTILLER,,"Distiller producing 35,000 gallons or less per year",POINT (-74.913815 41.933079)
1289090,NASSAU,MI,101,936252,GARVIES POINT BREWERY INC,GARVIES POINT CRAFT BREWERY,1 GARVIES POINT RD,BUILDING 1,GLEN CLOVE,NY,11542,1/28/2021,2/28/2022,MICRO-BREWER,,,POINT (-73.641476 40.859575)
3128186,NIAGARA,DW,301,912884,R SEAN MANNING INC,FREEDOM RUN WINERY,5138 LOWER MOUNTAIN RD,SEE ADDITIONAL EMAIL IN NOTES,LOCKPORT,NY,14094,1/29/2019,1/31/2022,WINERY,,,POINT (-78.762827 43.183879)
2201079,ULSTER,MI,101,935766,HEIKO GIESBERG,NEW PALTZ BREWING COMPANY (PFALZERBRAU),7174 RTE 209,,WAWARSING,NY,12458,12/31/2020,12/31/2021,MICRO BREWER,,,POINT (-74.358008 41.758293)
2212652,ALBANY,FD,106,937389,4TH GEAR FARM & BREWERY LLC,5TH GEAR BEER,362 VLY RD,,NISKAYUNA,NY,12309,3/15/2021,12/31/2021,FARM BREWER,,,POINT (-73.8303 42.76359)
1296436,NEW YORK,MI,101,933912,ANHEUSER BUSCH LLC,,119-125 W 24TH ST,,NEW YORK,NY,10011,8/20/2020,8/31/2021,MICRO-BREWER,,,POINT (-73.99328 40.743959)
2505143,ONONDAGA,MI,101,935615,A J SUDS INC,THE SYRACUSE SUDS FACTORY,320 S CLINTON,,SYRACUSE,NY,13202,12/18/2020,1/31/2022,MICROBREWERY,,,POINT (-76.153567 43.048139)
2204474,SCHENECTADY,FD,106,938287,VAN SCHAICK BEER CO LLC,GREAT FLATS BREWING,151 LAFAYETTE ST,UNIT 3,SCHENECTADY,NY,12305,11/25/2020,12/31/2021,FARM BREWER,,,POINT (-73.938405 42.812551)
3155129,SENECA,FD,106,934010,LOST KINGDOM BREWERY INC,LOST KINGDOM BREWERY,7160 MAIN ST,,OVID,NY,14521,8/27/2020,8/31/2021,FARM BREWERY,,tenant farm brewer on farm distiller premises,POINT (-76.822631 42.677598)
2210269,ORANGE,FD,106,938286,LONG LOT FARM BREWERY LLC,,153 JOHNSON RD,,CHESTER,NY,10918,11/25/2020,12/31/2021,FARM BREWER,,,POINT (-74.255962 41.38001)
2212925,ULSTER,DA,206,908492,PRINCE DISTILLERY LLC,,1519 RTE 9W,,MARLBORO,NY,12542,11/20/2018,10/31/2021,DISTILLER CLASS A-1,,,POINT (-73.964131 41.62440900000001)
3163574,ALLEGANY,FD,106,935565,KENT BEER COMPANY LLC,,1699 JONES RD,,ANDOVER,NY,14806,12/14/2020,12/31/2021,FARM BREWERY,,,POINT (-77.819811 42.171705)
2209065,DUTCHESS,DD,207,999999,"VALE FOX DISTILLERY LLC, THE",,619 NOXON RD,,POUGHKEEPSIE,NY,12603,10/11/2018,9/30/2021,FARM DISTILLER,,,POINT (-73.82662900000001 41.64966600000001)
2197274,ORANGE,FW,302,937965,OCEANE VINEYARDS LLC,,1661 KINGS HWY,,CHESTER,NY,10918,11/5/2020,11/30/2023,FARM WINERY,,,POINT (-74.280817 41.332384)
2192175,WASHINGTON,FD,106,935997,ARGYLE BREWING COMPANY LLC,,1 MAIN ST,,GREENWICH,NY,12834,1/14/2021,2/28/2022,FARM BREWER,,,POINT (-73.497004 43.087566)
2214347,ONONDAGA,MI,101,999999,ONCO FERMENTATIONS INC,,397 RTE 281,,TULLY,NY,13159,1/22/2019,12/31/2021,MICRO-BREWER,,Licensed Patio & Beer Garden,
3159444,MONROE,MI,101,934791,BULLIES ENTERTAINMENT GROUP LLC,BRINDLE HAUS BREWING COMPANY,377 S UNION ST,UNIT 2,SPENCERPORT,NY,14559,10/7/2020,10/31/2021,MICRO BREWERY,,Licensed Sidewalk Cafe,POINT (-77.803997 43.185436)
1139646,SUFFOLK,FW,302,903351,THE ROANOKE VINEYARDS INC,ROANOKE VINEYARDS,3543 SOUND AVENUE,ROANOKE AVE DOCTOR PATH,RIVERHEAD,NY,11901,8/2/2018,9/30/2021,FARM WINERY,,,POINT (-72.695638 40.968594)
2206517,ULSTER,FD,106,932742,GARDINER BREWING COMPANY LLC,,699 RTE 208,,GARDINER,NY,12525,7/24/2020,7/31/2021,FARM BREWER,,,POINT (-74.138454 41.666768)
2187171,ORANGE,CD,304,937717,BROTHERHOOD AMERICA'S OLDEST WINERY LTD,"VINECREST, PROUD COUNTRY CELLAR, OPICI VINEYARDS",100 BROTHERHOOD PLAZA DR,,WASHINGTONVILLE,NY,10992,10/26/2020,11/30/2021,CIDER PRODUCER/WHOLESALER,"Additional DBA's: Hudson Wine Farms, Ambition Beverages, Sisterhood Winery",,POINT (-74.160971 41.432138)
3159856,MONROE,FD,106,934792,BULLIES ENTERTAINMENT GROUP LLC,BRINDLE HAUS BREWING COMPANY,377 S UNION ST,UNIT 2,SPENCERPORT,NY,14559,10/7/2020,10/31/2021,FARM BREWER,,,POINT (-77.803997 43.185436)
3012516,SCHUYLER,FW,302,913917,DIANE G BUGLION-MANNION,RASTA RANCH VINEYARDS,5882 ROUTE 414,,HECTOR,NY,14841,3/8/2019,3/31/2022,FARM WINERY,,,POINT (-76.8736 42.518291)
3156375,ERIE,MI,101,937755,12 GATES BREWING COMPANY LLC,,80 EARHART DR STE 16 20,,WILLIAMSVILLE,NY,14221,10/28/2020,11/30/2021,MICROBREWERY,,,POINT (-78.715305 42.953794)
3157127,GENESEE,FD,106,934543,ROGERS BREWING LLC,ROGERS' BEER,5 13 MAIN ST,UNIT 7,LE ROY,NY,14482,9/22/2020,9/30/2021,FARM BREWER,,,POINT (-77.989363 42.977622)
1305188,KINGS,DD,207,903165,MKJ INNOVATIONS CORP,,36 WAVERLY AVE,UNIT 207,BROOKLYN,NY,11205,7/26/2018,7/31/2021,FARM DISTILLER CLASS D,,,POINT (-73.968569 40.696846)
3164999,ONTARIO,FD,106,917221,ARDENNES BREWING LLC,,570 SNELL RD,,GENEVA,NY,14456,4/5/2021,2/28/2022,FARM BREWER,,Licensed Patio,POINT (-76.999309 42.828959)
2217047,OTSEGO,FD,106,935608,BENNETT BREWING COMPANY LLC,HIGH BURL BREWERY,2803 STATE HWY 80,,BURLINGTON,NY,13315,12/18/2020,1/31/2022,FARM BREWER,,,POINT (-75.156292 42.721499)
3163794,ERIE,FD,106,936045,TIL BREWING LLC,TIL BREWING,11 W MAIN ST,STE 102,LANCASTER,NY,14086,1/19/2021,2/28/2022,FARM BREWER,,Alternating Proprietorship,POINT (-78.671285 42.90134)
1298763,SUFFOLK,MI,101,999999,GREAT SOUTH BAY BREWERY CORP,GREAT SOUTH BAY BREWERY,25 DREXEL DR,,BAY SHORE,NY,11706,12/27/2017,12/31/2021,MICRO-BREWERY,,,POINT (-73.263466 40.760544)
2200332,SARATOGA,MR,210,902744,"FAIRWAYS OF HALFMOON LLC, THE",HANK HUDSON BREWING COMPANY,17 JOHNSON RD,,MECHANICVILLE,NY,12118,7/5/2018,7/31/2021,"RESTAURANT BREWER SERVING BEER, WINE, CIDER, & LIQUOR",,,POINT (-73.711497 42.901445)
3156477,MONROE,FD,106,935586,GRIFFS BREWERY LLC,GRIFFS BREWERY,5324 W RIDGE RD,,SPENCERPORT,NY,14559,12/14/2020,12/31/2021,FARM BREWER,,,POINT (-77.820773 43.220193)
3161706,TOMPKINS,MI,101,999999,GARRETTS BREWING COMPANY INC,,1 W MAIN ST,,TRUMANSBURG,NY,14886,11/19/2019,11/30/2021,MICRO BREWERY,,,POINT (-76.662567 42.542082)
3146259,NIAGARA,FW,302,913332,JAMES T BAKER & KATHLEEN M BAKER,CHATEAU NIAGARA WINERY,2466 W CREEK ROAD,,NEWFANE,NY,14108,2/15/2019,2/28/2022,FARM WINERY,,,POINT (-78.71493 43.298064)
1309040,QUEENS,FD,106,999999,CHARLIE WORK LLC,EVIL TWIN BREWING,1612 1616 GEORGE ST,,RIDGEWOOD,NY,11385,11/1/2018,10/31/2021,FARM BREWERY,,,POINT (-73.904284 40.696328)
2205016,ONEIDA,FD,106,999999,COPPER CITY OF ROME BREWING COMPANY LLC,COPPER CITY BREWING COMPANY,1111 ONEIDA ST,,ROME,NY,13440,8/21/2017,10/31/2021,FARM BREWER,,Licensed Patio,POINT (-75.431686 43.204707)
2133097,ROCKLAND,MI,101,933984,KETTLE KREATIONS LLC,THE DEFIANT BREWING COMPANY,6 E DEXTER PLAZA,,PEARL RIVER,NY,10965,8/26/2020,8/31/2021,MICROBREWERY,,,POINT (-74.023482 41.058342)
1274971,NASSAU,FD,106,999999,BARRIER BREWING COMPANY LLC,,3001 NEW ST UNIT A2,,OCEANSIDE,NY,11572,10/5/2018,11/30/2022,FARM BREWER,,"Production of less than 60,000 barrels annually",POINT (-73.656186 40.639371)
3154231,ERIE,MI,101,940358,BIG DITCH BREWING COMPANY LLC,,55 E HURON ST,,BUFFALO,NY,14203,5/11/2021,5/31/2022,MICRO BREWERY,,,POINT (-78.870661 42.888162)
3013032,STEUBEN,MI,101,939642,MARBREW INC,MARKET ST BREWING CO & RESTAURANT,63 65 W MARKET ST,,CORNING,NY,14830,4/15/2021,5/31/2022,MICROBREWERY,,,POINT (-77.057151 42.143893)
1045802,SUFFOLK,FW,302,919366,PELLEGRINI VINEYARDS LLC,PELLEGRINI VINEYARDS,23005 MAIN ROAD,,CUTCHOGUE,NY,11935,6/27/2019,7/31/2022,FARM WINERY,,,POINT (-72.50065 41.000998)
2211651,JEFFERSON,MI,101,939853,BOOTS BREWING COMPANY INC,,89 PUBLIC SQ,,WATERTOWN,NY,13601,4/20/2021,4/30/2022,MICRO BREWER,,Tasting bar,POINT (-75.908947 43.974647)
3123005,YATES,FW,302,919043,ALAN D HUNT,YATES CELLARS,3170 ROUTE 54A,,BLUFF POINT,NY,14478,6/19/2019,6/30/2022,FARM WINERY,,,POINT (-77.117737 42.604979)
3165232,ONTARIO,FD,106,999999,YOUNG LION BREWING COMPANY LLC,,24 LAKESHORE RD,,CANANDAIGUA,NY,14424,9/25/2020,4/30/2022,FARM BREWER,,,POINT (-77.269929 42.875579)
3150825,YATES,FW,302,921522,TODD W EICHAS & DANI A EICHAS,NEW VINES BED & BREAKFAST,1138 TRAVIS RD,,PENN YAN,NY,14527,10/7/2019,10/31/2022,FARM WINERY PRODUCING WINE,,Bed & Breakfast,POINT (-76.985188 42.715235)
2204071,COLUMBIA,DD,207,915169,STATE 11 DISTILLERY LLC,STATE 11 DISTILLERY,284 STATE RTE 23,,CLAVERACK,NY,12513,5/3/2019,6/30/2022,FARM DISTILLER,,,POINT (-73.711725 42.220724)
1297250,SUFFOLK,FW,302,921916,GOVE WINES INC,,38355 RTE 25,,PECONIC,NY,11958,10/23/2019,10/31/2022,FARM WINERY,,,POINT (-72.463342 41.033699)
1151261,SUFFOLK,FW,302,922002,JASON'S VINEYARD'S INC,,1785 MAIN RD,HERRICKS ROAD,JAMESPORT,NY,11947,10/29/2019,11/30/2022,FARM WINERY,,,POINT (-72.576076 40.953327)
1315935,QUEENS,MI,101,999999,BIG ALICE BREWING COMPANY LLC,,808 43RD RD,,LONG ISLAND CITY,NY,11101,4/26/2019,9/30/2022,MICROBREWER,,,POINT (-73.950411 40.752113)
